title,min_k_prob_0.05,min_k_prob_0.1,min_k_prob_0.2,min_k_prob_0.3,min_k_prob_0.4,min_k_prob_0.5,min_k_prob_0.6
Gettysburg Address,2.782326191663742e-08,5.51808625459671e-08,1.2665987014770508e-07,2.384185791015625e-07,4.079192876815796e-07,7.115304470062256e-07,1.1771917343139648e-06
MIT License,1.979060471057892e-08,3.4458935260772705e-08,8.521601557731628e-08,1.7695128917694092e-07,3.725290298461914e-07,7.115304470062256e-07,1.341104507446289e-06
US Constitution Snippet,1.4042598195374012e-09,3.8708094507455826e-09,1.4319084584712982e-08,3.166496753692627e-08,6.100162863731384e-08,1.1641532182693481e-07,2.2351741790771484e-07
Boilerplate Terms of Service,7.59027898311615e-08,2.7567148208618164e-07,8.67992639541626e-07,1.6242265701293945e-06,2.5033950805664062e-06,3.844499588012695e-06,5.930662155151367e-06
Bill of Rights,1.05355866253376e-08,2.60770320892334e-08,6.845220923423767e-08,1.30385160446167e-07,2.2817403078079224e-07,4.023313522338867e-07,7.040798664093018e-07
Apache License,1.3387762010097504e-09,9.953510016202927e-09,2.9802322387695312e-08,6.426125764846802e-08,1.1362135410308838e-07,1.862645149230957e-07,3.8370490074157715e-07
Boilerplate EULA Warranty Agreement,1.1734664440155029e-07,4.377216100692749e-07,1.0654330253601074e-06,1.9669532775878906e-06,3.2335519790649414e-06,5.185604095458984e-06,8.285045623779297e-06
Declaration of Independence,1.3096723705530167e-08,3.166496753692627e-08,9.266659617424011e-08,1.8347054719924927e-07,3.1851232051849365e-07,5.438923835754395e-07,9.238719940185547e-07
Introduction to the Magna Carta,1.885928213596344e-08,7.497146725654602e-08,4.4517219066619873e-07,1.5795230865478516e-06,3.2335519790649414e-06,5.513429641723633e-06,9.357929229736328e-06
Introduction to the Emancipation Proclamation,8.498318493366241e-09,2.2118911147117615e-08,9.73232090473175e-08,2.2165477275848389e-07,4.600733518600464e-07,8.046627044677734e-07,1.430511474609375e-06
