label,binoculars_score,min_k_prob_0.05,min_k_prob_0.1,min_k_prob_0.2,min_k_prob_0.3,min_k_prob_0.4,min_k_prob_0.5,min_k_prob_0.6
0,1.0478469133377075,6.239861249923706e-08,2.682209014892578e-07,1.4379620552062988e-06,3.4570693969726562e-06,6.22868537902832e-06,1.0192394256591797e-05,1.5974044799804688e-05
1,0.9437500238418579,4.6566128730773926e-09,6.426125764846802e-08,2.4400651454925537e-07,8.23289155960083e-07,1.9669532775878906e-06,2.8759241104125977e-06,4.678964614868164e-06
0,0.9852941036224365,4.540197551250458e-09,1.2689270079135895e-08,5.564652383327484e-08,1.9650906324386597e-07,5.103647708892822e-07,1.7136335372924805e-06,3.203749656677246e-06
0,1.2634408473968506,5.1513779908418655e-09,2.3865140974521637e-08,1.30385160446167e-07,5.550682544708252e-07,2.086162567138672e-06,4.559755325317383e-06,8.58306884765625e-06
1,1.0,2.868473529815674e-07,5.960464477539062e-07,1.214444637298584e-06,3.203749656677246e-06,5.453824996948242e-06,7.987022399902344e-06,1.043081283569336e-05
0,0.9784946441650391,1.3504177331924438e-08,4.7031790018081665e-08,2.300366759300232e-07,1.0058283805847168e-06,2.384185791015625e-06,4.380941390991211e-06,6.854534149169922e-06
1,0.9019607901573181,1.3096723705530167e-08,4.0978193283081055e-08,3.1478703022003174e-07,1.3262033462524414e-06,2.3245811462402344e-06,3.993511199951172e-06,6.496906280517578e-06
1,0.8255813717842102,1.5459954738616943e-07,3.855675458908081e-07,5.811452865600586e-07,7.860362529754639e-07,1.2516975402832031e-06,2.5331974029541016e-06,4.5299530029296875e-06
1,0.987261176109314,2.5029294192790985e-08,1.0989606380462646e-07,6.258487701416016e-07,1.4677643775939941e-06,2.5779008865356445e-06,3.6954879760742188e-06,5.3942203521728516e-06
0,1.1907514333724976,2.384185791015625e-07,3.818422555923462e-07,1.475214958190918e-06,2.2649765014648438e-06,3.5017728805541992e-06,5.185604095458984e-06,7.599592208862305e-06
1,0.9505494236946106,4.0745362639427185e-08,7.12461769580841e-08,3.371387720108032e-07,9.387731552124023e-07,1.8849968910217285e-06,4.351139068603516e-06,6.884336471557617e-06
1,0.9285714030265808,2.10711732506752e-08,6.658956408500671e-08,4.6193599700927734e-07,1.1026859283447266e-06,2.1010637283325195e-06,3.427267074584961e-06,4.976987838745117e-06
1,0.9684684872627258,2.4796463549137115e-08,8.940696716308594e-08,1.909211277961731e-07,2.6263296604156494e-07,1.0132789611816406e-06,2.115964889526367e-06,3.471970558166504e-06
1,1.029197096824646,1.877197064459324e-09,1.0419171303510666e-08,3.9814040064811707e-08,1.4062970876693726e-07,5.923211574554443e-07,1.1324882507324219e-06,1.8849968910217285e-06
1,0.9308176040649414,1.7695128917694092e-08,4.190951585769653e-08,4.470348358154297e-07,1.6540288925170898e-06,3.0100345611572266e-06,4.470348358154297e-06,6.288290023803711e-06
0,1.091953992843628,1.2200325727462769e-07,3.9674341678619385e-07,1.3336539268493652e-06,2.473592758178711e-06,3.9637088775634766e-06,6.496906280517578e-06,8.761882781982422e-06
0,0.8131313323974609,1.103617250919342e-07,1.5459954738616943e-07,8.419156074523926e-07,2.2351741790771484e-06,3.7848949432373047e-06,5.3942203521728516e-06,7.092952728271484e-06
0,1.0306122303009033,5.73345459997654e-09,1.4086253941059113e-08,9.359791874885559e-08,2.3283064365386963e-07,5.736947059631348e-07,1.3783574104309082e-06,2.2649765014648438e-06
0,1.0352941751480103,2.0582228899002075e-07,6.183981895446777e-07,2.086162567138672e-06,3.5315752029418945e-06,4.857778549194336e-06,7.152557373046875e-06,9.47713851928711e-06
1,0.9822485446929932,2.0954757928848267e-08,6.565824151039124e-08,1.8347054719924927e-07,4.4330954551696777e-07,1.6540288925170898e-06,3.3229589462280273e-06,5.185604095458984e-06
0,0.8923766613006592,2.2817403078079224e-08,4.0978193283081055e-08,4.041939973831177e-07,1.0579824447631836e-06,1.6987323760986328e-06,2.5331974029541016e-06,3.546476364135742e-06
0,1.1894736289978027,8.498318493366241e-09,3.073364496231079e-08,5.960464477539063e-08,3.855675458908081e-07,1.0952353477478027e-06,2.115964889526367e-06,3.606081008911133e-06
1,0.9874213933944702,6.039044819772243e-10,1.964508555829525e-09,5.384208634495735e-09,1.0360963642597198e-08,1.9674189388751984e-08,3.4924596548080444e-08,7.031485438346863e-08
0,0.7529880404472351,1.1408701539039612e-08,2.3981556296348572e-08,1.210719347000122e-07,4.991888999938965e-07,9.98377799987793e-07,1.5720725059509277e-06,2.2798776626586914e-06
0,0.9650349617004395,1.8917489796876907e-09,9.313225746154785e-08,3.632158041000366e-07,1.2293457984924316e-06,2.339482307434082e-06,3.6209821701049805e-06,5.155801773071289e-06
0,0.964102566242218,3.632158041000366e-08,1.3131648302078247e-07,5.960464477539062e-07,1.7583370208740234e-06,3.680586814880371e-06,7.152557373046875e-06,1.1622905731201172e-05
0,1.0580644607543945,4.330649971961975e-08,8.987262845039368e-08,4.153698682785034e-07,8.754432201385498e-07,1.4007091522216797e-06,2.428889274597168e-06,4.32133674621582e-06
0,1.0700637102127075,1.9441358745098114e-08,8.89413058757782e-08,4.4517219066619873e-07,1.1846423149108887e-06,2.3990869522094727e-06,4.351139068603516e-06,8.344650268554688e-06
1,0.8117647171020508,4.6566128730773926e-08,6.752088665962219e-08,4.414469003677368e-07,1.1548399925231934e-06,1.9371509552001953e-06,4.0531158447265625e-06,7.539987564086914e-06
1,0.9503546357154846,4.016328603029251e-09,9.546056389808655e-09,7.171183824539185e-08,2.0675361156463623e-07,4.991888999938965e-07,1.1473894119262695e-06,2.250075340270996e-06
0,1.0882352590560913,7.683411240577698e-09,1.3213139027357101e-08,5.9371814131736755e-08,3.3155083656311035e-07,1.1548399925231934e-06,1.9669532775878906e-06,3.2782554626464844e-06
1,0.9929577708244324,1.4156103134155273e-07,2.7194619178771973e-07,4.6938657760620117e-07,7.37607479095459e-07,1.087784767150879e-06,2.473592758178711e-06,4.559755325317383e-06
1,0.8368794322013855,8.789356797933578e-09,3.9814040064811707e-08,2.2444874048233032e-07,6.07222318649292e-07,1.6391277313232422e-06,2.9653310775756836e-06,4.947185516357422e-06
1,0.9593023061752319,1.2479722499847412e-07,1.4062970876693726e-07,3.632158041000366e-07,5.960464477539062e-07,1.1399388313293457e-06,2.1010637283325195e-06,3.6209821701049805e-06
0,1.0543932914733887,2.3399479687213898e-08,4.7963112592697144e-08,2.0023435354232788e-07,5.029141902923584e-07,1.1175870895385742e-06,1.8328428268432617e-06,2.652406692504883e-06
0,0.9764705896377563,1.471489667892456e-07,2.5331974029541016e-07,7.115304470062256e-07,1.6614794731140137e-06,2.652406692504883e-06,4.410743713378906e-06,6.109476089477539e-06
1,1.1818181276321411,5.238689482212067e-10,6.752088665962219e-08,1.909211277961731e-07,3.762543201446533e-07,9.685754776000977e-07,2.9206275939941406e-06,5.185604095458984e-06
0,0.8021582961082458,6.170012056827545e-09,8.09086486697197e-09,1.862645149230957e-08,4.284083843231201e-08,1.210719347000122e-07,3.110617399215698e-07,9.052455425262451e-07
0,1.1470588445663452,4.94765117764473e-09,1.6065314412117004e-08,5.4249539971351624e-08,1.471489667892456e-07,3.2223761081695557e-07,7.264316082000732e-07,1.3262033462524414e-06
1,0.9151515364646912,4.7963112592697144e-08,7.12461769580841e-08,2.2631138563156128e-07,5.476176738739014e-07,1.4081597328186035e-06,3.129243850708008e-06,4.827976226806641e-06
1,1.0539419651031494,1.6763806343078613e-08,3.073364496231079e-08,1.4808028936386108e-07,3.8370490074157715e-07,8.493661880493164e-07,2.3245811462402344e-06,4.082918167114258e-06
1,1.010471224784851,2.764863893389702e-09,9.604264050722122e-09,4.3213367462158203e-07,1.1101365089416504e-06,1.7955899238586426e-06,3.0547380447387695e-06,5.7220458984375e-06
1,0.9548386931419373,1.0913936421275139e-09,2.3981556296348572e-08,8.847564458847046e-08,3.0174851417541504e-07,6.705522537231445e-07,1.6540288925170898e-06,3.2782554626464844e-06
0,0.9395973086357117,4.0512531995773315e-08,1.1222437024116516e-07,4.5634806156158447e-07,9.760260581970215e-07,1.6167759895324707e-06,2.7865171432495117e-06,5.155801773071289e-06
1,1.0414201021194458,3.203749656677246e-07,6.109476089477539e-07,1.6614794731140137e-06,2.8014183044433594e-06,4.589557647705078e-06,8.106231689453125e-06,2.0623207092285156e-05
1,0.800000011920929,3.986060619354248e-07,7.189810276031494e-07,1.4230608940124512e-06,2.652406692504883e-06,5.3942203521728516e-06,8.225440979003906e-06,1.4543533325195312e-05
0,1.0273972749710083,4.237517714500427e-08,7.171183824539185e-08,2.421438694000244e-07,1.55717134475708e-06,3.5315752029418945e-06,5.245208740234375e-06,7.808208465576172e-06
1,0.9952152967453003,4.44706529378891e-08,7.776543498039246e-08,3.129243850708008e-07,7.264316082000732e-07,1.8402934074401855e-06,3.0100345611572266e-06,5.513429641723633e-06
1,0.9450549483299255,5.820766091346741e-09,1.816079020500183e-08,1.0523945093154907e-07,3.2782554626464844e-07,8.903443813323975e-07,1.9669532775878906e-06,3.516674041748047e-06
1,0.813043475151062,6.111804395914078e-10,9.022187441587448e-09,1.3597309589385986e-07,7.897615432739258e-07,1.6838312149047852e-06,3.0100345611572266e-06,4.470348358154297e-06
0,1.1242235898971558,1.520675141364336e-09,5.995389074087143e-09,5.494803190231323e-08,3.6135315895080566e-07,1.1026859283447266e-06,2.0265579223632812e-06,3.0249357223510742e-06
1,0.8947368264198303,4.48198989033699e-09,6.868503987789154e-09,5.960464477539063e-08,1.3131648302078247e-07,4.675239324569702e-07,1.1324882507324219e-06,1.8775463104248047e-06
1,0.8648648858070374,1.0477378964424133e-08,3.818422555923462e-08,2.3283064365386963e-07,6.817281246185303e-07,2.7567148208618164e-06,6.22868537902832e-06,1.043081283569336e-05
0,1.0609755516052246,2.8638169169425964e-08,4.6100467443466187e-08,1.7695128917694092e-07,6.631016731262207e-07,1.3187527656555176e-06,2.3096799850463867e-06,3.427267074584961e-06
1,1.1428571939468384,3.585591912269592e-08,4.400499165058136e-08,2.980232238769531e-07,8.940696716308594e-07,1.55717134475708e-06,2.995133399963379e-06,5.4836273193359375e-06
1,0.7571428418159485,2.2646418074145913e-10,2.8958311304450035e-09,1.4842953532934189e-08,5.098991096019745e-08,1.8905848264694214e-07,4.2282044887542725e-07,7.003545761108398e-07
1,0.850806474685669,2.584420144557953e-08,5.075708031654358e-08,2.1513551473617554e-07,3.594905138015747e-07,5.62518835067749e-07,1.3783574104309082e-06,2.4437904357910156e-06
1,0.8333333134651184,8.32369551062584e-09,6.426125764846802e-08,8.605420589447021e-07,2.816319465637207e-06,5.066394805908203e-06,7.569789886474609e-06,1.150369644165039e-05
1,0.9058823585510254,2.828892320394516e-08,5.2386894822120667e-08,1.3969838619232178e-07,3.632158041000366e-07,1.259148120880127e-06,2.5331974029541016e-06,4.470348358154297e-06
1,1.023809552192688,3.236345946788788e-08,7.683411240577698e-08,3.203749656677246e-07,7.748603820800781e-07,1.341104507446289e-06,1.9073486328125e-06,2.6226043701171875e-06
1,0.9482758641242981,5.704350769519806e-08,8.89413058757782e-08,1.4062970876693726e-07,3.594905138015747e-07,1.0058283805847168e-06,2.16066837310791e-06,3.3974647521972656e-06
1,0.9942196607589722,6.798654794692993e-08,1.043081283569336e-07,2.868473529815674e-07,8.605420589447021e-07,2.3245811462402344e-06,3.7550926208496094e-06,4.976987838745117e-06
